A,B,C,D,answer
rococo,ornamental,pointillism,realism;floral;dots;distortion,dots
omaha,delaware,houston;salt lake city;reno;sacramento,hawaii,sacramento
combustion,heat;water;freon;helium,freezing,cold,heat
pathos;limerick;tragedy;dirge,elegy,solemnity,glee,limerick
hunter,prey,host,emcee;subordinate;stranger;guest,guest
termites,mole,lair;hut;termitarium;chickee,burrow,termitarium
infant,pouch;womb;chest;cocoon,chick,egg,womb
possessive;nominative;passive;objective,their,subjective,they,possessive
donatello,sculpt,angelico,paint;compose;invent;discover,paint
monotremes,echinoderms,amazon;china;australia;arctic,ocean,australia
cardiograph,resuscitate;transport;estimate;record,periscope,view,record
drill;chisel;roller;wrench,hammer,sculptor,carpenter,chisel
cubism,fragmented,dada,photographic;classical;nonsensical;monochromatic,nonsensical
25,4,36;32;24;15,9,36
polymath,numbers;ignorance;humor;shapes,predator,compassion,ignorance
swan lake;bolero;rodeo;madame butterfly,puccini,messiah,handel,madame butterfly
mass,sun,gravity,radium;energy;tachyons;oort cloud,energy
seraph,seraphim,erratum;erratic;serai;erranty,errata,erratum
tailor,rasp;ligature;shears;trocar,golfer,club,shears
rijksmuseum;whitney;hagia sophia;pergamon,berlin,tretyakov,moscow,pergamon
gravity,mirror,attracts,rotates;reflects;ratifies;recycles,reflects
propriety,audacious,novelty;detail;history;relevance,obsolete,relevance
hopi,pueblos;wigwams;hogans;chickees,inuit,igloos,pueblos
general;genius;genera;generic,ellipses,genus,ellipsis,genera
yale university,churchill downs,pennsylvania;new york;connecticut;old faithful,kentucky,connecticut
prado,spain,hermitage,russia;germany;italy;england,russia
pigeonhole,idea,audition;typecast;train;fire,actor,typecast
etymology,insects;the cell and its functions;animal behavior;the origins of words,deontology,ethics,the origins of words
copernicus;euclid;ptolemy;newton,hippocrates,geometry,medicine,euclid
loquacious,imperious,talkative,flashy;daring;bossy;cautious,bossy
1/3,7/9,2;3;6;12,14,6
roosevelt,obama/mccain;taft/wilson;eisenhower/stevenson;truman/dewey,wallace,nixon/humphrey,taft/wilson
kerouac;dreiser;faulkner;hughes,ginsberg,on the road,howl,kerouac
marsupial,wombat,monotreme,bat;porpoise;lemur;platypus,platypus
flogs,tooth,logs;loaf;golf;slog,toot,golf
comte,positivism;conflict theory;interactionism;feminism,spencer,functionalism,positivism
vicksburg;normandy;san jacinto;new orleans,yorktown,civil,revolutionary,vicksburg
string,ukulele,percussion,piccolo;sitar;harp;glockenspiel,glockenspiel
hg,fe,hydrogen;mercury;helium;tungsten,iron,mercury
african american men,women;foreign nationals;children;naturalized citizens,15th,19th,women
burglary;assault;embezzlement;drug possession,personal,conspiracy,inchoate,assault
rhyolite,basalt,light,white;opaque;dark;neutral,dark
histogram,scatter plot,comparisons;trends;percentages;distributions,correlations,distributions
cognitive,mental processes;needs;reflections;emotions,behaviorist,observations,mental processes
5.4;13.8;46;93,4.5,universe,earth,13.8
ceva’s theorem,triangles,euler’s geometric formula,polyhedrons;eulogium;quadrilaterals;trapezium,polyhedrons
normandy,pearl harbor,germany;england;russia;france,hawaii,france
summon,incarcerate;deputize;order;exonerate,mirandize,inform,order
dwarf;ice giant;satellite;gas giant,terrestrial,neptune,earth,ice giant
wow,hello,exclamation,article;participle;greeting;expletive,greeting
faux pas,blunder,de facto,specific;informative;actual;unique,actual
staccato,largo,legato;forte;libretto;vivace,presto,legato
jenny,sheep;kangaroo;ferret;donkey,queen,cat,donkey
young;narrow;little;definite,infinitesimal,tsunami,ripple,little
tride-,hendec-,13,11;12;16;18,11
buddha,christ,muhammad;siddhartha;confucius;lao tzu,jesus,siddhartha
incarcerate,indict;imprison;prosecute;arraign,try,litigate,imprison
pledge;resembling;belief;paralysis,-plegia,nourishment,-trophy,paralysis
butte,gully,plateau,crevice;mountain;canyon;mesa,canyon
blasphemy,doxology,denigrate;obfuscate;blandish;ingratiate,eulogize,denigrate
seismology,earthquakes;shells;snakes;diseases,nephology,clouds,earthquakes
ra;k;pb;h,na,lead,sodium,pb
parable,story,elegy,joke;ballad;prayer;poem,poem
cubit,flagon,dram;rod;gill;pica,butt,rod
apocalypse,truculent;pacific;eschatological;perfidious,anarchy,law,pacific
print;photograph;monitor;transparency,writing,lithograph,cuneiform,print
ultra-,ob-,beyond,above;out of;both;toward,toward
czar,emperor,classy;penurious;middle class;haut monde,bourgeois,middle class
kingdom,carnivora;architeuthis;diptera;animalia,species,sapien,animalia
hera;athena;aphrodite;artemis,juno,dionysus,bacchus,hera
pessimistic,clean,cheerful,corrupted;melancholy;pristine;nonchalant,corrupted
excruciating,sore,simple;pleasant;intolerable;adequate,irritating,intolerable
clam,know;take;throw;shout,flex,bend,shout
absorb;confuse;extend;clarify,satisfy,obfuscate,satiate,confuse
superficiality;experience;superfluity;void,eternity,smidgen,moment,superfluity
africa,europe,chad,iran;china;portugal;india),portugal
neuron,dendrite,tooth;cell;bone;hair,enamel,tooth
electron,epidermis;cylinder;gluteus;vent,proton,crater,vent
rocks;plants;bacteria;organs,ferns,animals,mammals,plants
pulp,fruit,antenna,sand;insect;cornmeal;reptile,insect
picasso,cubism,aristotle;mill;sartre;socrates,existentialism,sartre
edison,pascal;aquinas;hegel;bell,orwell,faulkner,bell
taoism;islam;santeria;hellenism,monotheistic,hinduism,polytheistic,islam
astronomers,archaeologists,celsius,leakey;coltrane;bach;pissarro,leakey
flower,stamen,worm;lunula;wasp;invertebrate,thorax,wasp
nonmetals,anagrams;palindromes;articles;prepositions,hydrogen,over,prepositions
détente;civil;truce;treaty,wars,democratic,governments,civil
mango,peach,pecan,carrot;spinach;pistachio;bean,pistachio
medulla oblongata,condensation,spinal cord;dermis;parietal lobe;cuticle,precipitation,spinal cord
sentence,predicate;author;coefficient;page,story,climax,predicate
domestic;snakes;wild;bears,eagles,polar,bald,bears
dead sea,lakes,antarctica,glaciers;continents;reservoirs;islands,continents
wheel,pulley,valve;piston;fulcrum;sump,lever,fulcrum
empiricism,symphony;opera;jazz;march,hume,parker,jazz
quart;kelvin;ampere;mole,meter,fahrenheit,kilogram,quart
fuselage,airliner,spokes,pilot;street;bicycle;radar,bicycle
