A,B,C,D,answer
ROCOCO,ORNAMENTAL,POINTILLISM,realism;floral;dots;distortion,dots
OMAHA,DELAWARE,Houston;Salt Lake City;Reno;Sacramento,HAWAII,Sacramento
COMBUSTION,heat;water;freon;helium,FREEZING,COLD,heat
pathos;limerick;tragedy;dirge,ELEGY,SOLEMNITY,GLEE,limerick
HUNTER,PREY,HOST,emcee;subordinate;stranger;guest,guest
TERMITES,MOLE,lair;hut;termitarium;chickee,BURROW,termitarium
INFANT,pouch;womb;chest;cocoon,CHICK,EGG,womb
possessive;nominative;passive;objective,THEIR,SUBJECTIVE,THEY,possessive
DONATELLO,SCULPT,ANGELICO,paint;compose;invent;discover,paint
MONOTREMES,ECHINODERMS,Amazon;China;Australia;Arctic,OCEAN,Australia
CARDIOGRAPH,resuscitate;transport;estimate;record,PERISCOPE,VIEW,record
drill;chisel;roller;wrench,HAMMER,SCULPTOR,CARPENTER,chisel
CUBISM,FRAGMENTED,DADA,photographic;classical;nonsensical;monochromatic,nonsensical
25,4,36;32;24;15,9,36
POLYMATH,numbers;ignorance;humor;shapes,PREDATOR,COMPASSION,ignorance
Swan Lake;Bolero;Rodeo;Madame Butterfly,PUCCINI,MESSIAH,HANDEL,Madame Butterfly
MASS,SUN,GRAVITY,radium;energy;tachyons;Oort cloud,energy
SERAPH,SERAPHIM,erratum;erratic;serai;erranty,ERRATA,erratum
TAILOR,rasp;ligature;shears;trocar,GOLFER,CLUB,shears
Rijksmuseum;Whitney;Hagia Sophia;Pergamon,BERLIN,TRETYAKOV,MOSCOW,Pergamon
GRAVITY,MIRROR,ATTRACTS,rotates;reflects;ratifies;recycles,reflects
PROPRIETY,AUDACIOUS,novelty;detail;history;relevance,OBSOLETE,relevance
HOPI,pueblos;wigwams;hogans;chickees,INUIT,IGLOOS,pueblos
general;genius;genera;generic,ELLIPSES,GENUS,ELLIPSIS,genera
YALE UNIVERSITY,CHURCHILL DOWNS,Pennsylvania;New York;Connecticut;Old Faithful,KENTUCKY,Connecticut
PRADO,SPAIN,HERMITAGE,Russia;Germany;Italy;England,Russia
PIGEONHOLE,IDEA,audition;typecast;train;fire,ACTOR,typecast
ETYMOLOGY,insects;the cell and its functions;animal behavior;the origins of words,DEONTOLOGY,ETHICS,the origins of words
Copernicus;Euclid;Ptolemy;Newton,HIPPOCRATES,GEOMETRY,MEDICINE,Euclid
LOQUACIOUS,IMPERIOUS,TALKATIVE,flashy;daring;bossy;cautious,bossy
1/3,7/9,2;3;6;12,14,6
ROOSEVELT,Obama/McCain;Taft/Wilson;Eisenhower/Stevenson;Truman/Dewey,WALLACE,NIXON/HUMPHREY,Taft/Wilson
Kerouac;Dreiser;Faulkner;Hughes,GINSBERG,ON THE ROAD,HOWL,Kerouac
MARSUPIAL,WOMBAT,MONOTREME,bat;porpoise;lemur;platypus,platypus
FLOGS,TOOTH,logs;loaf;golf;slog,TOOT,golf
COMTE,positivism;conflict theory;interactionism;feminism,SPENCER,FUNCTIONALISM,positivism
Vicksburg;Normandy;San Jacinto;New Orleans,YORKTOWN,CIVIL,REVOLUTIONARY,Vicksburg
STRING,UKULELE,PERCUSSION,piccolo;sitar;harp;glockenspiel,glockenspiel
HG,FE,hydrogen;mercury;helium;tungsten,IRON,mercury
AFRICAN AMERICAN MEN,women;foreign nationals;children;naturalized citizens,15TH,19TH,women
burglary;assault;embezzlement;drug possession,PERSONAL,CONSPIRACY,INCHOATE,assault
RHYOLITE,BASALT,LIGHT,white;opaque;dark;neutral,dark
HISTOGRAM,SCATTER PLOT,comparisons;trends;percentages;distributions,CORRELATIONS,distributions
COGNITIVE,mental processes;needs;reflections;emotions,BEHAVIORIST,OBSERVATIONS,mental processes
5.4;13.8;46;93,4.5,UNIVERSE,EARTH,13.8
CEVA’S THEOREM,TRIANGLES,EULER’S GEOMETRIC FORMULA,polyhedrons;eulogium;quadrilaterals;trapezium,polyhedrons
NORMANDY,PEARL HARBOR,Germany;England;Russia;France,HAWAII,France
SUMMON,incarcerate;deputize;order;exonerate,MIRANDIZE,INFORM,order
dwarf;ice giant;satellite;gas giant,TERRESTRIAL,NEPTUNE,EARTH,ice giant
WOW,HELLO,EXCLAMATION,article;participle;greeting;expletive,greeting
FAUX PAS,BLUNDER,DE FACTO,specific;informative;actual;unique,actual
STACCATO,LARGO,legato;forte;libretto;vivace,PRESTO,legato
JENNY,sheep;kangaroo;ferret;donkey,QUEEN,CAT,donkey
young;narrow;little;definite,INFINITESIMAL,TSUNAMI,RIPPLE,little
TRIDE-,HENDEC-,13,11;12;16;18,11
BUDDHA,CHRIST,Muhammad;Siddhartha;Confucius;Lao Tzu,JESUS,Siddhartha
INCARCERATE,indict;imprison;prosecute;arraign,TRY,LITIGATE,imprison
pledge;resembling;belief;paralysis,-PLEGIA,NOURISHMENT,-TROPHY,paralysis
BUTTE,GULLY,PLATEAU,crevice;mountain;canyon;mesa,canyon
BLASPHEMY,DOXOLOGY,denigrate;obfuscate;blandish;ingratiate,EULOGIZE,denigrate
SEISMOLOGY,earthquakes;shells;snakes;diseases,NEPHOLOGY,CLOUDS,earthquakes
Ra;K;Pb;H,NA,LEAD,SODIUM,Pb
PARABLE,STORY,ELEGY,joke;ballad;prayer;poem,poem
CUBIT,FLAGON,dram;rod;gill;pica,BUTT,rod
APOCALYPSE,truculent;pacific;eschatological;perfidious,ANARCHY,LAW,pacific
print;photograph;monitor;transparency,WRITING,LITHOGRAPH,CUNEIFORM,print
ULTRA-,OB-,BEYOND,above;out of;both;toward,toward
CZAR,EMPEROR,classy;penurious;middle class;haut monde,BOURGEOIS,middle class
KINGDOM,Carnivora;Architeuthis;Diptera;Animalia,SPECIES,SAPIEN,Animalia
Hera;Athena;Aphrodite;Artemis,JUNO,DIONYSUS,BACCHUS,Hera
PESSIMISTIC,CLEAN,CHEERFUL,corrupted;melancholy;pristine;nonchalant,corrupted
EXCRUCIATING,SORE,simple;pleasant;intolerable;adequate,IRRITATING,intolerable
CLAM,know;take;throw;shout,FLEX,BEND,shout
absorb;confuse;extend;clarify,SATISFY,OBFUSCATE,SATIATE,confuse
